"colostrum","milky fluid secreted for the first day or two after parturition"
"crown","the award given to the champion"
"cachet","an indication of approved or superior status"
"seal","an indication of approved or superior status"
"citation","an official award (as for bravery or service) usually given as formal public statement"
"commendation","an official award (as for bravery or service) usually given as formal public statement"
"mention","an official recognition of merit; ""although he didn''t win the prize he did get special mention"""
"letter","an award earned by participation in a school sport; ""he won letters in three sports"""
"decoration","an award for winning a championship or commemorating some other event"
"medal","an award for winning a championship or commemorating some other event"
"medallion","an award for winning a championship or commemorating some other event"
"palm","an award for winning a championship or commemorating some other event"
"ribbon","an award for winning a championship or commemorating some other event"
"trophy","an award for success in war or hunting"
"disapproval","the expression of disapproval"
"condemnation","an expression of strong disapproval; pronouncing as wrong or morally culpable; ""his uncompromising condemnation of racism"""
"censure","harsh criticism or disapproval"
"animadversion","harsh criticism or disapproval"
"demonization","to represent as diabolically evil; ""the demonization of our enemies"""
"demonisation","to represent as diabolically evil; ""the demonization of our enemies"""
"interdict","an ecclesiastical censure by the Roman Catholic Church withdrawing certain sacraments and Christian burial from a person or all persons in a particular district"
"criticism","disapproval expressed by pointing out faults or shortcomings; ""the senator received severe criticism from his opponent"""
"brickbat","blunt criticism"
"faultfinding","persistent petty and unjustified criticism"
"carping","persistent petty and unjustified criticism"
"fire","intense adverse criticism; ""Clinton directed his fire at the Republican Party""; ""the government has come under attack""; ""don''t give me any flak"""
"attack","intense adverse criticism; ""Clinton directed his fire at the Republican Party""; ""the government has come under attack""; ""don''t give me any flak"""
"flak","intense adverse criticism; ""Clinton directed his fire at the Republican Party""; ""the government has come under attack""; ""don''t give me any flak"""
"flack","intense adverse criticism; ""Clinton directed his fire at the Republican Party""; ""the government has come under attack""; ""don''t give me any flak"""
"blast","intense adverse criticism; ""Clinton directed his fire at the Republican Party""; ""the government has come under attack""; ""don''t give me any flak"""
"thrust","verbal criticism; ""he enlivened his editorials with barbed thrusts at politicians"""
"potshot","criticism aimed at an easy target and made without careful consideration; ""reporters took potshots at the mayor"""
"counterblast","a vigorous and unrestrained response; ""her tirade provoked a counterblast from her husband"""
"rebuke","an act or expression of criticism and censure; ""he had to take the rebuke with a smile on his face"""
