"venial","warranting only temporal punishment; ""venial sin"""
"drifting","continually changing especially as from one abode or occupation to another; ""a drifting double-dealer""; ""the floating population""; ""vagrant hippies of the sixties"""
"floating","continually changing especially as from one abode or occupation to another; ""a drifting double-dealer""; ""the floating population""; ""vagrant hippies of the sixties"""
"vagabond","continually changing especially as from one abode or occupation to another; ""a drifting double-dealer""; ""the floating population""; ""vagrant hippies of the sixties"""
"vagrant","continually changing especially as from one abode or occupation to another; ""a drifting double-dealer""; ""the floating population""; ""vagrant hippies of the sixties"""
"erratic","having no fixed course; ""an erratic comet""; ""his life followed a wandering course""; ""a planetary vagabond"""
"planetary","having no fixed course; ""an erratic comet""; ""his life followed a wandering course""; ""a planetary vagabond"""
"wandering","having no fixed course; ""an erratic comet""; ""his life followed a wandering course""; ""a planetary vagabond"""
"homeless","without nationality or citizenship; ""stateless persons"""
"stateless","without nationality or citizenship; ""stateless persons"""
"migrant","habitually moving from place to place especially in search of seasonal work; ""appalled by the social conditions of migrant life""; ""migratory workers"""
"migratory","habitually moving from place to place especially in search of seasonal work; ""appalled by the social conditions of migrant life""; ""migratory workers"""
"mobile","(of groups of people) tending to travel and change settlements frequently; ""a restless mobile society""; ""the nomadic habits of the Bedouins""; ""believed the profession of a peregrine typist would have a happy future""; ""wandering tribes"""
"nomadic","(of groups of people) tending to travel and change settlements frequently; ""a restless mobile society""; ""the nomadic habits of the Bedouins""; ""believed the profession of a peregrine typist would have a happy future""; ""wandering tribes"""
"peregrine","(of groups of people) tending to travel and change settlements frequently; ""a restless mobile society""; ""the nomadic habits of the Bedouins""; ""believed the profession of a peregrine typist would have a happy future""; ""wandering tribes"""
"roving","(of groups of people) tending to travel and change settlements frequently; ""a restless mobile society""; ""the nomadic habits of the Bedouins""; ""believed the profession of a peregrine typist would have a happy future""; ""wandering tribes"""
"wandering","(of groups of people) tending to travel and change settlements frequently; ""a restless mobile society""; ""the nomadic habits of the Bedouins""; ""believed the profession of a peregrine typist would have a happy future""; ""wandering tribes"""
"peripatetic","traveling especially on foot; ""peripatetic country preachers""; ""a poor wayfaring stranger"""
"wayfaring","traveling especially on foot; ""peripatetic country preachers""; ""a poor wayfaring stranger"""
"itinerant","traveling from place to place to work; ""itinerant labor""; ""an itinerant judge"""
"rootless","wandering aimlessly without ties to a place or community; ""led a vagabond life""; ""a rootless wanderer"""
"vagabond","wandering aimlessly without ties to a place or community; ""led a vagabond life""; ""a rootless wanderer"""
"unlocated","lacking a particular location"
"migratory","used of animals that move seasonally; ""migratory birds"""
"nonmigratory","used of animals that do not migrate"
"resident","used of animals that do not migrate"
"settled","established or decided beyond dispute or doubt; ""with details of the wedding settled she could now sleep at night"""
"accomplished","settled securely and unconditionally; ""that smoking causes health problems is an accomplished fact"""
"effected","settled securely and unconditionally; ""that smoking causes health problems is an accomplished fact"""
"established","settled securely and unconditionally; ""that smoking causes health problems is an accomplished fact"""
"appointed","fixed or established especially by order or command; ""at the time appointed (or the appointed time"")"
"decreed","fixed or established especially by order or command; ""at the time appointed (or the appointed time"")"
"ordained","fixed or established especially by order or command; ""at the time appointed (or the appointed time"")"
"prescribed","fixed or established especially by order or command; ""at the time appointed (or the appointed time"")"
"determined","determined or decided upon as by an authority; ""date and place are already determined""; ""the dictated terms of surrender""; ""the time set for the launching"""
"dictated","determined or decided upon as by an authority; ""date and place are already determined""; ""the dictated terms of surrender""; ""the time set for the launching"""
"set","determined or decided upon as by an authority; ""date and place are already determined""; ""the dictated terms of surrender""; ""the time set for the launching"""
"deterministic","an inevitable consequence of antecedent sufficient causes"
"firm","not subject to revision or change; ""a firm contract""; ""a firm offer"""
"preconcerted","previously arranged or agreed on; ""following preconcerted plans"""
"unsettled","still in doubt; ""an unsettled issue""; ""an unsettled state of mind"""
"doubtful","unsettled in mind or opinion; ""drew a few tentative conclusions"""
"tentative","unsettled in mind or opinion; ""drew a few tentative conclusions"""
"open","not brought to a conclusion; subject to further thought; ""an open question""; ""our position on this bill is still undecided""; ""our lawsuit is still undetermined"""
"undecided","not brought to a conclusion; subject to further thought; ""an open question""; ""our position on this bill is still undecided""; ""our lawsuit is still undetermined"""
"undetermined","not brought to a conclusion; subject to further thought; ""an open question""; ""our position on this bill is still undecided""; ""our lawsuit is still undetermined"""
"unresolved","not brought to a conclusion; subject to further thought; ""an open question""; ""our position on this bill is still undecided""; ""our lawsuit is still undetermined"""
"sexy","marked by or tending to arouse sexual desire or interest; ""feeling sexy""; ""sexy clothes""; ""sexy poses""; ""a sexy book""; ""sexy jokes"""
"aroused","feeling great sexual desire; ""feeling horny"""
"horny","feeling great sexual desire; ""feeling horny"""
"randy","feeling great sexual desire; ""feeling horny"""
"ruttish","feeling great sexual desire; ""feeling horny"""
"autoerotic","sexually self-satisfying as by masturbation"
"coquettish","like a coquette"
"flirtatious","like a coquette"
"erotic","giving sexual pleasure; sexually arousing"
"titillating","giving sexual pleasure; sexually arousing"
"blue","suggestive of sexual impropriety; ""a blue movie""; ""blue jokes""; ""he skips asterisks and gives you the gamy details""; ""a juicy scandal""; ""a naughty wink""; ""naughty words""; ""racy anecdotes""; ""a risque story""; ""spicy gossip"""
